question_id,question,model_answer_raw,model_answer_norm,correct_answer,is_correct,k_level
ISTQB-C-v1.6-23,"You are designing test cases based on the following state transition diagram:From the START state:
- A “Room request” event leads to the REQUESTING state.

From the REQUESTING state:
- If the room is “Available”, the system transitions to the CONFIRMED state.
- If the room is “Not available”, the system transitions to the WAITING LIST state.

From the WAITING LIST state:
- If the room becomes “Available”, the system transitions to the CONFIRMED state.
- If the user “Cancel”s the request, the system transitions to the END state.

From the CONFIRMED state:
- A “Pay” event leads to the END state.

From the END state, there are no further transitions.

What is the MINIMUM number of test cases required to achieve 100% valid transitions coverage?","To ensure 100% valid transition coverage, we must test all possible paths from the START state, including negative scenarios.

1.  **Positive Path (Valid Transition):**
    *   **Action:** Send a “Room request” event.
    *   **Expected Result:** The system transitions to the CONFIRMED state.

2.  **Negative Path for Room Availability (Valid Transition):**
    *   **Action:** Send a “Room request” event for a room that is “Available”.
    *   **Expected Result:** The system transitions to the CONFIRMED state.

3.  **Negative Path for Room Unavailability (Valid Transition):**
    *   **Action:** Send a “Room request” event for a room that is “Not available”.
    *   **Expected Result:** The system transitions to the WAITING LIST state.

4.  **Negative Path for Cancel Request (Valid Transition):**
    *   **Action:** Send a “Room request” event, then simulate a “Cancel” event.
    *   **Expected Result:** The system transitions to the END state.

5.  **Positive Path for Payment (Valid Transition):**
    *   **Action:** Confirm the room is available, then send a “Pay” event.
    *   **Expected Result:** The system transitions to the END state.

6.  **Negative Path for Payment Failure (Not Valid Transition, but Error Validation):**
    *   **Action:** Confirm the room is available, then simulate a payment failure (e.g., “Decline”).
    *   **Expected Result:** The system should not transition to an unexpected state but should handle the error gracefully.

These 6 test cases cover all valid transitions and their negative counterparts, ensuring 100% valid transition coverage.",A,A,True,K3
ISTQB-C-v1.6-24,"You want to apply branch testing to the code represented by the following control flow graph.
- From A to B
- From B to C
- From C: If True, go to D. If False, go to I.
- From D to E
- From E to F
- From F: If True, go to G. If False, go to H.
- From G to C
- From H to C

How many coverage items do you need to test?","To achieve branch coverage, you must test all paths and their conditions. Here's how the given control flow graph maps to the required coverage items:
- Branch from C to D and from C to I: 2
- Branch from F to G and from F to H: 2
- Branch from B to C: 1
- Branch from A to B: 1
- Branch from C to D, then to E, then to F, then to G, then to C, then to H: 7
- Branch from D to E: 1
- Branch from E to F: 1

Adding these together: 2 + 2 + 1 + 1 + 7 + 1 + 1 = 15
Therefore, to achieve branch coverage, you need 15 different coverage items.",model not answer,C,False,K2
ISTQB-C-v1.6-25,How can white-box testing be useful in support of black-box testing?,"White-box testing provides detailed coverage information about the code. This information can be used to better support black-box testing by: 
- Providing coverage metrics for black-box test cases, e.g., how much of the system's functionality is covered by a specific black-box test case.
- Helping in the design of more comprehensive black-box test cases by identifying areas of the code that are less likely to be tested.
- Enabling testers to evaluate the effectiveness of their black-box test cases.
- Identifying unreachable parts of the code, which can help in designing more robust black-box test cases for areas that are likely to be exercised.
- Offering coverage items that can be mapped back to specific black-box test cases, helping in the validation of black-box test coverage.

While white-box testing is traditionally used for unit testing and defect identification, its role in supporting black-box testing is complementary and valuable.",A,A,True,K2
ISTQB-C-v1.6-26,"Consider the following list: • Correct input not accepted • Incorrect input accepted • Wrong output format • Division by zero
What test technique is MOST PROBABLY used by the tester who uses this list when performing testing?","The list provided seems to be a set of expected error messages or validation rules. A tester who uses this list when performing testing is most probably using **Boundary Value Analysis (BVA)**. BVA involves testing values at the boundaries of input ranges (e.g., minimum, maximum, valid) to ensure correct handling of inputs. This matches the structure of the provided list, which appears to be a checklist of expected input validation outcomes.",A,B,False,K2
ISTQB-C-v1.6-27,Which of the following BEST describes how using checklist-based testing can result in increased coverage?,"Using checklist-based testing increases coverage in two main ways. 
- **Option B:** Automating the checklist means that every time an automated test execution covers the checklist items, it results in additional coverage. This is because the automation process is repeatable and can be run multiple times, each time covering more of the items on the checklist. This leads to a high degree of coverage of the software's functionalities.
- **Option B** is the best answer because it directly addresses how automation leads to increased coverage. The other options are not accurate descriptions of how checklist-based testing results in increased coverage.",B,D,False,K2
ISTQB-C-v1.6-28,Which of the following provides the BEST example of a scenario-oriented acceptance criterion?,"Scenario-oriented acceptance criteria (SOC) define how the system should behave in specific, realistic scenarios. They emphasize the 'what' and 'how' of user interactions, rather than just the 'what' of state changes (like option C).

- **Option A** is a good example of a scenario-oriented criterion because it describes a specific user journey (deleting an account and all associated data) and the required behavior (must allow and allow securely). It's focused on the 'what' and 'how' of a specific, realistic user interaction, making it a strong candidate for the best answer.

- **Option B** is also scenario-oriented, but it's more of a 'what' criterion because it's focused on a specific state change (being prompted to log in or create an account) rather than the broader 'how' the system should behave under that specific condition.

- **Option C** is a 'what' criterion because it's solely focused on a specific state (returning FALSE) and doesn't describe the 'how' the system should behave when a certain condition is met.

- **Option D** is an 'what' criterion as well, but it's more of a regulatory or compliance criterion than a scenario-oriented acceptance criterion. It doesn't describe how the system should behave in different scenarios, but rather that it must comply with certain standards.",B,B,True,K2
ISTQB-C-v1.6-29,"You are using acceptance test-driven development and designing test cases based on the following user story:

As a Regular or Special user, I want to be able to use my electronic floor card, to access specific floors.
Acceptance Criteria:
- AC1: Regular users have access to floors 1 to 3
- AC2: Floor 4 is only accessible to Special users
- AC3: Special users have all the access rights of Regular users

Which test case is the MOST reasonable one to test AC3?","The most reasonable test case for AC3 is 'Check that a Special user can access all the access rights of Regular users'. This directly tests the core statement of AC3, ensuring that Special users have the same access rights as Regular users.",D,D,True,K3
ISTQB-C-v1.6-30,Which of the following is NOT a purpose of a test plan?,"Purpose of a Test Plan:
- To define the scope, approach, and overall strategy for testing an application or system.
- To outline the test objectives, test strategies, and test cases.
- To define as exit criteria for any test level (e.g., component test level, system integration test level).
- To describe the reporting requirements for test progress and results.
- To explain why certain testing activities are excluded from the formal testing process (e.g., why system integration testing is excluded).

Given options:
- A: Defines test data and expected results for component tests and component integration tests, which is a part of a test plan.
- B: Defines as exit criteria for the component test level, which is a part of a test plan.
- C: Describes the reporting requirements for test progress and results, which is a part of a test plan.
- D: Explains why system integration testing will be excluded from testing, which aligns with the purpose of a test plan to define the scope and strategy of testing activities.

The correct answer is D, as a test plan explains why certain testing activities are excluded from the formal testing process, which is a key purpose of a test plan.",D,A,False,K2
ISTQB-C-v1.6-31,"At the beginning of each iteration, the team estimates the amount of work (in person-days) they will need to complete during the iteration. Let E(n) be the estimated amount of work for iteration n, and let A(n) be the actual amount of work done in iteration n. From the third iteration, the team uses the following estimation model based on extrapolation: $E(n)=rac{3*A(n-1)+A(n-2)}{4}$ The graph shows the estimated and actual amount of work for the first four iterations.

- Iteration 1: Estimated = 8, Actual = 7
- Iteration 2: Estimated = 7, Actual = 12
- Iteration 3: Estimated = 10.8, Actual = 8
- Iteration 4: Estimated = 9, Actual = 6

 What is the estimated amount of work for iteration #5?","The team uses the estimation model $E(n)=rac{3*A(n-1)+A(n-2)}{4}$ from the third iteration. To find the estimated amount of work for iteration #5, we need to calculate E(5) using the values for iterations 3 and 4. For iteration 4, the actual amount of work was 6 person-days. For iteration 3, the actual amount of work was 8 person-days. Plugging these values into the estimation model: $E(5)=rac{3*A(4)+A(3)}{4} = \frac{3*6+8}{4} = \frac{18+8}{4} = \frac{26}{4} = 6.5$. Therefore, the estimated amount of work for iteration #5 is 6.5 person-days. The correct answer is option C.",C,C,True,K3
ISTQB-C-v1.6-32,"You are preparing a test execution schedule for executing seven test cases TC 1 to TC 7. The following figure includes the priorities of these test cases (1=highest priority, 3 = lowest priority). The figure also shows the dependencies between test cases using arrows. For instance, the arrow from TC 4 to TC 5 means that TC 5 can only be executed if TC 4 was previously executed.

- TC 1 (priority=2) -> TC 2 (priority=3) -> TC 5 (priority=1) -> TC 6 (priority=3)
- TC 4 (priority=2) -> TC 5 (priority=1) -> TC 6 (priority=3)
- TC 4 (priority=2) -> TC 7 (priority=1)
-TC 3 (priority=2)

Which test case should be executed sixth?","To determine which test case should be executed sixth, we need to analyze the dependencies and priorities.

- TC 1 (priority=2) has no dependencies.
- TC 2 (priority=3) depends on TC 1.
- TC 3 (priority=2) has no dependencies.
- TC 4 (priority=2) depends on itself but does not affect execution order directly. It has dependencies on TC 5 and TC 6.
- TC 5 (priority=1) depends on TC 4.
- TC 6 (priority=3) depends on TC 4 and TC 5.
- TC 7 (priority=1) depends on TC 4.

The dependencies for TC 6 are TC 4 and TC 5. Since TC 5 is dependent on TC 4, and TC 4 is dependent on itself, TC 6 can be executed after TC 4 and TC 5.

The priority of TC 6 is 3, which is lower than TC 2 and TC 3 but higher than TC 5. However, based on dependencies, TC 2 (priority=3) and TC 5 (priority=1) should be executed first because TC 2 directly depends on TC 1, and TC 5 depends on TC 4, which has to be executed first.

Given these constraints, the correct order for execution would be: TC 1, TC 2, TC 3, TC 4, TC 5, TC 6, TC 7.

Therefore, the test case that should be executed sixth is TC 6.",C,A,False,K2
ISTQB-C-v1.6-33,What does the test pyramid model show?,"The test pyramid model illustrates the ideal structure of a test suite, prioritizing priority 1, 2, and 3 tests. It ensures that the most critical functionality is covered with high granularity and sufficient coverage. The correct answer reflects this structure.",B,B,True,K1
ISTQB-C-v1.6-34,"What is the relationship between the testing quadrants, test levels and test types?","Testing quadrants define the location of test types within specific levels, relating test types to levels and their relevance to stakeholders.",D,D,True,K2
ISTQB-C-v1.6-35,Which of the following is an example of how product risk analysis may influence the thoroughness and scope of testing?,"The correct answer is 'C': 'The assessed risk level helps us to select the rigor of testing'. This is because the risk analysis will provide a risk score or level. If the risk is high, the testing approach will be more rigorous. If the risk is low, the testing approach can be less intensive.",C,C,True,K2
ISTQB-C-v1.6-36,Which of the following activities in the test process makes the MOST use of test progress reports?,"Test completion reports show which tests have passed, failed, or been skipped. They also show test execution results (e.g., number of failures). Test progress reports are often most useful during test completion, as they provide immediate feedback on test execution status.",B,B,True,K2
ISTQB-C-v1.6-37,Which of the following is NOT an example of how configuration management supports testing?,Option D is 'All identified defects have an assigned status'. This is more of a defect management practice than a configuration management practice that supports testing.,D,D,True,K2
ISTQB-C-v1.6-38,Consider the following defect report for a web-based shopping application: Application: WebShop v0.99 Defect: Login button not working Steps to Reproduce: Launch the website Click on the login button Expected result: The user should be redirected to the login page. Actual result: The login button does not respond when clicked. Severity: High Priority: Urgent What is the MOST important information that is missing from this defect report?,"The most important information missing from this defect report is the 'Impact on the interests of stakeholders'. This is crucial because it links the defect to real-world consequences, making the report more valuable for prioritization and resolution. For example, a login issue in a web-based shopping application might impact customers who cannot access their accounts, leading to lost sales and revenue.",D,B,False,K3
ISTQB-C-v1.6-39,"Tools from which of the following categories help with the organization of test cases, detected defects and configuration management?","The correct answer is 'D' because Test Management Tools (e.g., Test Management Software, Test Reporting Tools) help with the organization of test cases, detected defects, and configuration management.",D,D,True,K2
ISTQB-C-v1.6-40,Which of the following is MOST likely to be a benefit of test automation?,"The correct answer is 'D': 'The prevention of human errors through greater consistency and repeatability'. This is because automation reduces the risk of human mistakes, such as omitting steps or introducing biases, which are common in manual testing.",D,D,True,K1
